game_id,game_date,principal_team,opponent_team,home_team,principal_score,opponent_score,delta_avg_points_per_game,delta_field_goals_pct,delta_avg_off_rebounds,delta_avg_free_throws_att,delta_avg_free_throws_pct,delta_avg_turnovers,delta_win_pct,game_result
219265b0-aba3-458c-8d1b-1fe85d41c5f4,2015-11-17,UC Santa Barbara,California,False,67,85,-37.0,-0.15800000000000003,1.0,-2.0,-0.08299999999999998,14.0,0.0,LOSS
e9e73eaf-8612-49ff-8a3d-18deed1c8d6e,2015-11-17,Sacred Heart,Yale,False,77,99,6.0,0.003999999999999986,-9.0,24.0,-0.22899999999999998,-6.0,0.0,LOSS
ba1151f9-27f3-4faf-b692-5869853d817c,2015-11-17,USC Upstate,Presbyterian,False,73,74,11.0,-0.08700000000000002,3.0,10.0,0.18,-1.0,0.0,LOSS
f8eeb468-78fe-45cf-bd34-c8a96f74c5a6,2015-11-17,IUPUI,Marquette,False,71,75,-8.0,0.04799999999999997,-8.0,3.0,0.032999999999999974,6.0,1.0,LOSS
1fd86dd0-01f4-4dce-bba5-b50f25842e2f,2015-11-17,Alabama,Dayton,False,48,80,-7.0,-0.01,-3.0,-10.0,-0.038999999999999986,-4.0,0.0,LOSS
47afab1f-c4e1-4a38-b0fb-d5bd8964df0c,2015-11-17,Northern Arizona,Boise State,False,81,101,-2.0,-0.18700000000000003,9.0,18.0,0.06599999999999995,4.0,0.0,LOSS
7107e3b5-b51a-4899-8005-7fb9820dd8fb,2015-11-17,Tennessee State,Ohio,False,67,75,1.0,0.04400000000000006,-5.0,-6.0,0.08599999999999994,3.0,0.0,LOSS
e171c8db-e86f-4952-a5f9-f7e4b09ea724,2015-11-17,South Carolina,Oral Roberts,True,84,66,4.0,-0.038999999999999986,8.0,10.0,-0.06,6.0,0.0,WIN
235b609b-abbb-4053-b101-0371603e4820,2015-11-17,San Jose State,Montana,True,64,61,-20.0,-0.18700000000000003,5.0,-11.0,-0.13400000000000006,1.0,-1.0,WIN
8460347a-1c8c-46ce-a1ae-4db8eaa1f364,2015-11-17,Colorado,Auburn,False,91,84,-13.0,-0.06600000000000002,-2.0,-20.0,-0.13800000000000004,4.0,-1.0,WIN
049e8267-0e65-43fd-9a29-11f55479d4fd,2015-11-17,Tennessee,Georgia Tech,False,67,69,-34.0,-0.07699999999999996,-10.0,3.0,0.08300000000000005,5.0,0.0,LOSS
