seed,quadrant,team,id
11,,Alabama,c2104cdc-c83d-40d2-a3cd-df986e29f5d3
12,,Arizona St.,ad4bc983-8d2e-4e6f-a8f9-80840a786c64
7,,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2
8,,Baylor,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
12,,Belmont,a0a22502-0d84-440c-84af-1fbb070ad54c
14,,Bowling Green,a9e4d292-d074-40e7-a81a-f9342929b979
16,,Bucknell,98d2123a-c7b9-4b5f-8a81-43f76d8537dc
7,,Buffalo,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9
7,,Cincinnati,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
12,,Davidson,2920c5fa-1e86-4958-a7c4-1e97b8e201d8
1,,Duke,faeb1160-5d15-4f26-99fc-c441cf21fc7f
11,,Florida  ,912f8837-1d81-4ef9-a576-a21f271d4c64
6,,Florida St.,d3c8a767-b6fc-45d4-a5f2-18406f2993f1
1,,Gonzaga,2f4d21f8-6d5f-48a5-abca-52a30583871a
12,,Hofstra,36ca2008-cd2e-4549-8b3b-c745167e07f3
3,,Houston,1f99a164-d593-4d81-85d5-0d7889d6f486
6,,Iowa,c10544de-e3bd-4776-ba2e-83df8c017fd1
5,,Iowa St.,0e4258fa-3154-4c16-b693-adecab184c6c
3,,Kansas,fae4855b-1b64-4b40-a632-9ed345e1e952
6,,Kansas St.,d203f38a-a166-4258-bca2-e161b591ecfb
2,,Kentucky,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
11,,Lipscomb,a2b8223d-40b3-4076-b5df-55655c2f8591
3,,Louisville,b795ddbc-baab-4499-8803-52e8608520ab
15,,Loyola Chicago,61a3908a-7492-4b6f-809e-12c61976bb0a
5,,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b
4,,Marquette,06f7c904-0ac7-4125-b0f4-f4871bb69057
6,,Maryland,2778d005-cc14-4e58-9bf2-3fc37bffb62f
2,,Michigan,bdc2561d-f603-4fab-a262-f1d2af462277
2,,Michigan St.,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
10,,Minnesota,fa416692-7e09-4f0a-9bcf-0cf7d5149a14
7,,Mississippi St.,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae
15,,Montana,e3848467-66c0-41e5-8283-02e3586d8601
10,,NC State,52df1e19-b142-4a76-a439-ad68455d0581
4,,Nevada,62a73b4a-e281-4483-a1f8-f1160a18e456
13,,New Mexico St.,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
16,,Norfolk St.,a8f75c12-c4db-401f-99e3-b48209d85274
2,,North Carolina,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
14,,Northern Ky.,ab9a1315-293f-42d3-a164-860216e81576
9,,Ohio St.,857462b3-0ab6-4d26-9669-10ca354e382b
10,,Oklahoma,b2fda957-e15c-4fb2-8a13-6e58496f561e
13,,Old Dominion,ce967953-5c50-4220-87b2-99acb9606e84
8,,Ole Miss,d7d668ec-edaa-4d6b-be25-2ebba4128643
16,,Prairie View,91ec9ba2-12e5-4a75-9410-a166c82163fd
15,,Princeton,fe406882-9f22-495e-9df6-ef357a6803c6
3,,Purdue,12d7f888-675b-459f-9099-a38f771d8a95
15,,Radford,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b
16,,Rider,0b73b9b9-1e29-4b14-b5d8-0405fe942e32
16,,Robert Morris,6906e22d-92fa-40cb-8c05-ec8391ac1979
16,,Sam Houston St.,67322042-9c40-4dc2-b33a-4754c02ec82a
13,,South Dakota St.,6ef40534-5fad-4755-84de-7dcbd645d1f0
9,,St. John's (NY),c1f4aae1-aa16-4095-aeab-10e5c2a1236a
8,,Syracuse,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
9,,TCU,f7fcbb6e-4a55-41ea-ba21-f763ed914467
12,,Temple,8598d1b6-106b-4083-a512-2e495729525a
1,,Tennessee,b827dbdf-230f-4916-9703-3bb9004e26eb
9,,Texas   ,6ed15092-2670-450a-99c2-61d861e87644
14,,Texas St.,1e5dc9e4-c60d-487b-8279-dfbec9229faa
5,,Texas Tech,f8c705b7-87d3-411a-9c8b-5124daab0469
14,,UC Irvine,39d00ef7-320d-47cf-a2fa-859bc24d16b4
11,,UCF,054c3e85-0552-4549-b123-7e84af6e7b6c
11,,VCU,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518
13,,Vermont,18e89867-9201-41ce-ba19-fadddf92fa17
4,,Villanova,4383eb6a-7fd8-4ff2-94c5-43c933121e88
1,,Virginia,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
4,,Virginia Tech,324ccccc-575b-4b82-acb0-fbb8e68da13b
8,,Washington,e52c9644-717a-46f4-bf16-aeca000b3b44
5,,Wisconsin,c7569eae-5b93-4197-b204-6f3a62146b25
10,,Wofford,9916713f-b243-452b-93ae-a2c3ccabf68b
