game_id,home_team,principal_team,opponent_team,game_result,game_date,principal_score,opponent_score,prn_pts_avg,prn_fg_pct,prn_off_rebs_avg,prn_ft_att_avg,prn_ft_pct,prn_turnover_avg,prn_win_pct,prn_allow_pts_avg,prn_allow_fg_pct,prn_allow_off_rebs_avg,prn_allow_ft_att_avg,prn_take_away_avg,opp_pts_avg,opp_fg_pct,opp_off_rebs_avg,opp_ft_att_avg,opp_ft_pct,opp_turnover_avg,opp_win_pct,opp_allow_pts_avg,opp_allow_fg_pct,opp_allow_off_rebs_avg,opp_allow_ft_att_avg,opp_take_away_avg
8f563208-9a5c-488c-8923-d3dc70d8805c,FALSE,Wyoming,UNLV,FALSE,2/28/2016,74,79,67.32143,0.43625644,4.214286,21.392857,0.7145242,10.75,0.4074074,68.85714,0.43211487,8.678572,21.107143,10.107142,73.42857,0.43599257,9.214286,23.071428,0.68421054,13.392858,0.5185185,69.5,0.41041538,8.821428,23.428572,13.857142
8f748e32-365a-4d8f-9fe7-f36f42d91323,FALSE,Chattanooga,Virginia Military,TRUE,3/1/2016,67,65,73.13793,0.45897436,8.965517,22.172413,0.7387247,11.4827585,0.8214286,65.24138,0.44002566,7.8965516,16.896551,12.827586,64,0.39581928,8.115385,14.692307,0.7225131,11.884615,0.24,73.84615,0.46695095,9.807693,21.576923,12.076923
8f82fbf4-7d55-4a4b-9531-1cd8470db4a6,FALSE,LSU,Alabama,TRUE,1/23/2016,72,70,77.10526,0.46953404,9.894737,24.31579,0.6666667,11.473684,0.6111111,71.42105,0.43462577,9.421053,20.578947,13.263158,63.166668,0.43307087,7.611111,20.333334,0.64480877,12.833333,0.5882353,63,0.39831403,9.944445,21.11111,11.833333
8f87ef60-0197-4a48-a2fe-44508375aa2f,FALSE,Stetson,Florida Gulf Coast,FALSE,3/7/2016,78,80,75.3,0.4473094,7.3,19.766666,0.72006744,11.833333,0.27586207,81.666664,0.48392197,10.8,19.033333,11.033334,72.82758,0.46765578,9.275862,20.827587,0.6456954,11.275862,0.53571427,70.17242,0.42449465,8.4827585,20.655172,10.896552
8f941e6d-60a5-4a71-8277-caaaf62b084c,FALSE,Jacksonville State,Belmont,FALSE,2/11/2016,73,81,64.36,0.40668118,8.4,16.16,0.7351485,10.24,0.25,69.36,0.46431312,9.44,22.52,11.16,78.68,0.489665,7,18.72,0.72863245,13.32,0.6666667,74.56,0.43527082,10.48,21.12,11.24
8fa00ada-db63-437a-84fe-adac7c3ca0f3,FALSE,Drake,Missouri State,FALSE,2/25/2016,52,61,64.57143,0.44397464,6.428571,17.357143,0.72839504,12.5,0.18518518,71.03571,0.4695708,8.142858,17.071428,9.392858,65.07143,0.41732284,8.607142,21.607143,0.6826446,12.5,0.37037036,71.5,0.4547787,7.75,19.142857,11.392858
8fb18abf-d9da-4a26-96e2-f43256bae0f6,FALSE,N.J.I.T.,Albany,FALSE,11/28/2015,73,74,60.5,0.4125874,6.3333335,18.333334,0.8090909,12.833333,0.6,61.5,0.42711863,9.166667,20.833334,11.5,55.6,0.42410713,9,21,0.6761905,9.8,0.25,55.4,0.47663552,8,14.6,13
8fb909ae-2485-4c62-ad26-6c25099caafe,TRUE,Eastern Washington,Seattle,TRUE,11/18/2015,76,70,44,0.50769234,4.5,11,0.72727275,5,0,53,0.6212121,5,12,6.5,40.333332,0.35042736,8.666667,17,0.5686275,10.333333,0,45,0.394958,6.6666665,14.333333,7
8fc2dbfb-52b2-4db3-b551-c1bf66d05c20,FALSE,Stetson,Tennessee State,FALSE,12/5/2015,54,74,70.25,0.45842695,7.75,15.625,0.768,12.25,0.2857143,79.625,0.5178197,12,16.125,11.375,55,0.44059405,5.6,20.6,0.74757284,11.2,0.5,52.8,0.3824885,6.8,20.8,9.8
8fdae72a-a875-4814-96ec-c5118fd32c08,FALSE,Quinnipiac,Siena,FALSE,2/28/2016,65,80,63.689655,0.36756453,13.931034,17.068966,0.6424242,14.379311,0.32142857,68.655174,0.41341463,8.586206,22.862068,11.275862,75.48387,0.46481273,11,22.838709,0.7245763,14.709678,0.6333333,70.51613,0.41248608,9.064516,22.741936,11.806452
8ff1edc9-618f-44fd-bc41-8cf7d4d8e745,FALSE,Charleston,Citadel,TRUE,12/5/2015,82,74,59.285713,0.4051724,8.857142,19.142857,0.6492537,10.428572,0.6666667,53.57143,0.40460527,6.285714,21,12.428572,74.28571,0.42891565,5.714286,15.142858,0.8207547,12.857142,0.5,85.71429,0.5344828,10,24.571428,13.142858
9001aba2-4068-4e89-b680-38065a694bc8,FALSE,Saint Louis,Dayton,FALSE,1/28/2016,37,73,64.25,0.43129387,5.55,22.1,0.71493214,12.2,0.42105263,68,0.43560606,7.8,20.6,12,70.35,0.46518376,8.2,22.4,0.68973213,12.75,0.84210527,62.6,0.4074074,8.1,17.35,12.05
9008b83a-7db1-4086-8ba8-523bd4311088,FALSE,North Carolina Central,Coppin State,FALSE,2/19/2016,60,71,65.21739,0.41746795,9.826087,20.434782,0.6851064,12.478261,0.3181818,68.478264,0.44371942,8.608696,20.434782,12.347826,66.583336,0.36823857,10.583333,22.083334,0.69433963,12.416667,0.17391305,78.625,0.47971013,10.625,25.5,13.041667
900cd92c-ebd9-40f1-8f18-62a4e2298f6b,TRUE,IUPUI,South Alabama,FALSE,11/24/2015,68,78,52.4,0.3846154,7.2,14.6,0.72602737,12.2,0.25,59,0.42731276,8.8,24.8,11.6,55.25,0.38388625,10,15.5,0.5967742,8.75,0,66,0.5497076,5,20,9.5
901d8774-0aa9-44fe-90b3-6daf6a8b6f17,TRUE,North Carolina,Florida Gulf Coast,TRUE,3/17/2016,83,67,79.91428,0.478738,12.314285,20.142857,0.73758864,10.457143,0.8235294,67.57143,0.4098681,9.057143,17.37143,12.342857,73.80645,0.47359645,9.258064,21.548388,0.64221555,11.548388,0.56666666,70.258064,0.42029786,8.451612,20.870968,10.806452
901ee1ff-34d2-4ae5-b479-414b3472f5cd,FALSE,Bradley,Evansville,FALSE,1/9/2016,35,67,51.6875,0.36495388,7.25,18.625,0.6677852,16.375,0.06666667,68.125,0.44228432,9,26.5,10.75,74.6875,0.52135676,6.4375,25.375,0.71428573,12.625,0.8,64.4375,0.41865757,6.4375,18.625,11.125
903e04fa-c279-41bf-a321-e86aa617d34f,TRUE,Massachusetts,New Orleans,TRUE,12/17/2015,103,95,70.3,0.45045045,7.8,18.7,0.657754,10.1,0.5555556,65.3,0.41636363,10.4,20.8,12,53.857143,0.3633721,9.857142,22.571428,0.62658226,12,0.16666667,63.57143,0.4548193,9,21.285715,12.714286
9049ff9d-3ce9-44a9-9d74-c9fe4b5a616b,FALSE,Kennesaw State,North Florida,FALSE,1/17/2016,78,93,63.17647,0.4172043,7.9411764,18.235294,0.67741936,13.294118,0.1875,75.411766,0.47535935,11.529411,21.058823,12.3529415,78.5,0.48173076,6.111111,14.833333,0.7602996,10.277778,0.64705884,75,0.45654082,10.944445,17.555555,9.444445
90502335-5ec7-4970-a8df-059996a0cdbe,FALSE,Milwaukee,Wisconsin,TRUE,12/10/2015,68,67,66,0.44170403,6.7777777,18.666666,0.7619048,11.333333,0.625,62.77778,0.4683258,5.4444447,15.111111,10.444445,64.7,0.41899443,11.5,19.3,0.7512953,9.3,0.6666667,59.2,0.4317719,6.8,17.1,10.3
9051351e-f2fc-413c-a988-a0deebe24dea,FALSE,Washington,Arizona State,TRUE,1/17/2016,89,85,79.17647,0.41229656,13.6470585,26.17647,0.6966292,13.764706,0.6875,73.588234,0.41375968,12.117647,26.82353,15.882353,71.5,0.4269006,10,22.333334,0.71890545,11.055555,0.64705884,67.111115,0.43407708,7.9444447,19.166666,12.5
9058bf04-b7d9-4fe2-8bda-d010add337e8,TRUE,Texas Rio Grande Valley,North Dakota State,FALSE,12/23/2015,50,68,60.4,0.42632613,5.8,16.6,0.6927711,11.4,0.11111111,74,0.475,9.7,20.4,8.7,64.72727,0.42711863,8,19.454546,0.63084114,9.363636,0.7,62.18182,0.44444445,7.090909,16.818182,11.909091
90590e31-5c53-4af6-9094-f3308dd67822,FALSE,Gonzaga,Portland,TRUE,2/12/2016,92,66,76.083336,0.48729447,8.458333,19.541666,0.74840087,11,0.7826087,63.166668,0.39247695,8,16.625,9.375,74.73077,0.43054682,9.153846,18.307692,0.710084,11.615385,0.4,75.46154,0.44608173,9.923077,24.23077,13.153846
906c6a86-af46-4b49-9bdf-a01638bd72af,FALSE,TCU,Texas Tech,FALSE,2/24/2016,79,83,64.46429,0.4058745,9.464286,23.892857,0.66068757,14.035714,0.4074074,67.42857,0.43569022,8.607142,21.571428,14.142858,70.111115,0.44436717,8.481482,23.074074,0.7447833,10.777778,0.65384614,66.333336,0.42137095,8.814815,17.851852,11.814815
9080c94a-7791-441e-b203-f5e1680e3432,FALSE,Tennessee,Alabama,FALSE,1/27/2016,57,63,75.3,0.43322203,10,22.2,0.7387387,10.8,0.5263158,72.75,0.4217067,10.9,21.2,12.25,63.526318,0.4318902,7.8421054,20.263159,0.64415586,12.736842,0.5555556,63.473682,0.40376985,10,20.736841,11.736842
9082f33c-669b-4fca-a28c-e398f99c7517,FALSE,Alabama State,Coastal Carolina,FALSE,12/20/2015,65,68,57.88889,0.36943907,8.666667,14.222222,0.65625,10.222222,0.375,69.111115,0.5046296,7.6666665,22.222221,12.111111,60.88889,0.4416476,7.7777777,19.11111,0.65697676,12.111111,0.375,63.555557,0.4159292,8.222222,22,8.555555
908729b0-fa27-49a3-bc25-2a56343853c8,TRUE,Hofstra,Drexel,TRUE,1/15/2016,69,61,74.5,0.4445664,10,22.375,0.6815643,10.625,0.6666667,70.6875,0.45327604,9.125,15.9375,11.6875,60.733334,0.39147288,9.133333,22.6,0.69911504,11.266666,0.21428572,66.26667,0.46304044,7.133333,24.6,12
908efb69-5df5-4c17-ab80-783c3b2fc2ff,TRUE,Chattanooga,Wofford,TRUE,2/5/2016,79,63,73.57143,0.4660793,8.904762,21.52381,0.71902657,11.190476,0.85,65.2381,0.4384411,7.6190476,16.761906,13,65.47619,0.42911512,6.7619047,19.761906,0.75421685,10.952381,0.4,68.57143,0.48850575,6.857143,21.52381,11.095238
90918102-e4ea-4f7f-9910-626f069c7431,TRUE,Pepperdine,Drake,FALSE,11/25/2015,53,69,54.4,0.3898305,8.6,20.6,0.66019416,11.4,0.25,55.8,0.4273859,7.4,16,11.2,57,0.44444445,5,16,0.8125,11,0.33333334,59.25,0.46842104,8.25,15.25,8.75
909f2b38-18a4-41f1-929d-8804e5b28617,FALSE,South Carolina,Texas A&M,TRUE,2/6/2016,81,78,73.63636,0.43249798,11.772727,28.772728,0.6761453,13.318182,0.85714287,65.22727,0.3888889,8.363636,21.09091,14.090909,73.521736,0.45503876,10.304348,22.695652,0.6570881,11.434783,0.8181818,61.913044,0.40290087,8.913043,18.347826,14.608696
90ae9634-afa6-40b3-a6a9-ebdd256a69cd,TRUE,Miami (OH),IPFW,FALSE,11/25/2015,53,57,55.6,0.4368932,4.6,19,0.7263158,9.8,0.5,57,0.4212963,8.2,17.6,12.8,57.75,0.44378698,5.75,18.75,0.68,8.75,0.6666667,55.5,0.44936708,7.25,24.25,9
90af358c-d83e-446b-9dcb-9e43c8737a3a,FALSE,Missouri State,Northern Iowa,FALSE,2/11/2016,69,83,63.916668,0.41446346,8.458333,21.791666,0.67686427,12.375,0.39130434,69.166664,0.44885495,7.4166665,18.375,11.833333,66.52,0.46357086,4.52,16.2,0.7407407,9.2,0.5416667,62.8,0.44325972,7.52,13,11.16
90c456cc-4572-425b-8932-8f281e9a26d0,FALSE,New Hampshire,Brown,TRUE,11/25/2015,88,77,46.333332,0.44954127,4.6666665,10.333333,0.67741936,6.3333335,0.5,51.333332,0.5,4.3333335,7.6666665,7,55,0.396,7,13,0.6769231,10,0.25,60.2,0.43776825,6.6,22.4,8.6
90d3e625-a421-4b2a-be14-ace1a2db2c09,FALSE,N.J.I.T.,Stetson,TRUE,1/16/2016,71,59,70.94444,0.43429157,7.8333335,20.5,0.7696477,12.722222,0.47058824,72.27778,0.43737957,11.055555,21.277779,12,71.6,0.44574097,7.4,17.866667,0.7201493,12.666667,0.21428572,82.8,0.51592356,11.666667,16.266666,10.866667
90d74e08-ef1c-4ffb-a5d4-7566d40f53e7,FALSE,Illinois State,TCU,FALSE,11/25/2015,60,71,53.2,0.41025642,8.8,18.6,0.5483871,11.6,0.5,55.2,0.4212963,9.4,21.6,14,61.4,0.42477876,8.4,24.6,0.75609756,11.6,0.5,56.4,0.42723006,5.2,21.6,13
90e5b1ad-2d67-45b0-8cde-8917e1fde94d,FALSE,Milwaukee,Cleveland State,TRUE,1/9/2016,65,62,71.066666,0.44110274,7,20.4,0.77124184,10.933333,0.64285713,67,0.45200485,6.733333,16.266666,10,57.8,0.39674592,9.8,15.466666,0.6810345,12.466666,0.21428572,67.13333,0.47905028,8.066667,22.933332,13.066667
90e86e84-b962-428d-8ebf-6929dec9c33c,TRUE,Florida International,LIU Brooklyn,TRUE,11/26/2015,80,72,50,0.44025156,6,14.5,0.6034483,10.75,0.33333334,50.5,0.38764045,8.5,17.25,8.25,58.25,0.4198895,10,23,0.7282609,10.25,1,56,0.4715909,8.25,17.5,12.75
90ef34d6-7739-42e3-9772-5d15b8c37f42,FALSE,Purdue,Michigan State,FALSE,3/13/2016,62,66,75.911766,0.47428572,9.6470585,19.82353,0.7403561,11.6470585,0.7878788,62.64706,0.3905536,6.6764708,16.294117,8.794118,77.82353,0.48574337,10.705882,17.617647,0.7278798,11.088235,0.8484849,61.558823,0.3767661,7.117647,19.058823,8.970589
9101d38c-aa0e-4a3b-8f1f-e28e0c66860b,FALSE,Clemson,Syracuse,TRUE,1/6/2016,74,73,64.86667,0.43149808,9.4,17.933332,0.68773234,9.6,0.5714286,57.333332,0.40745503,7.733333,13.266666,10.4,66.1875,0.42,9.9375,20.25,0.6728395,10.875,0.6666667,60.625,0.39096045,10.75,15.9375,12.5625
9129d334-150a-410d-9f7d-0faad3275157,FALSE,Grambling State,North Carolina A&T,FALSE,12/18/2015,47,61,47.625,0.33952254,5.75,16.25,0.65384614,14.125,0,68,0.46786633,8.25,23.125,12.25,58.916668,0.4030354,7.4166665,20.416666,0.6897959,13.083333,0.36363637,70.833336,0.4428795,10.5,24.416666,11.583333
912cec67-33bc-4925-a622-d4a1a19638bf,FALSE,Dayton,Richmond,TRUE,3/2/2016,85,84,70.37931,0.46064517,8.275862,21.586206,0.672524,12.344828,0.78571427,62.724136,0.40567824,7.3448277,17.137932,11.586206,74.793106,0.489441,7.034483,19.862068,0.6545139,9.896552,0.53571427,71.413795,0.44825473,9.551724,20,11.620689
9133f531-ffd9-44df-a129-3a196cb92529,TRUE,Tennessee,Florida,TRUE,1/7/2016,83,69,73.64286,0.43794748,10.285714,21.071428,0.69491524,9.928572,0.53846157,70.07143,0.41866028,10.214286,19.428572,11.5,68.21429,0.42236024,11.785714,22.142857,0.61935484,9.571428,0.6923077,57.57143,0.37466666,8.5,17.857143,12.071428
914600f4-95b9-4547-a3fb-1fef8c06f18f,TRUE,Grambling State,Alabama State,TRUE,1/5/2016,84,81,51,0.36210132,6.090909,17.181818,0.64021164,14.545455,0.1,70,0.46354166,8.818182,21.818182,12.272727,60.916668,0.3787234,8.666667,14.916667,0.6592179,11.25,0.27272728,70.833336,0.49346405,7.75,22.5,11.75
