season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2010,Buffalo,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,34,2.93,-2.22,0.588,70,64,0.472,0.393,0.651,19,78.06470588,12,11,23,21,15,7,89.66920353,19
2010,Butler ,bdb7d7a4-45f8-4bf3-ab85-15488c451494,38,11.53,5.02,0.737,71,64,0.433,0.411,0.726,21,75.2,11,8,23,22,10,5,94.41489362,21
2010,Cal Poly,45439cdb-af7a-4743-936c-dccc76b30877,30,-1.84,-2.39,0.5,59,58,0.389,0.437,0.664,20,71.26,11,7,22,21,11,6,82.79539714,19
2010,Cal State Bakersfield,2da57857-b038-4ad3-8199-e3fb339f57d2,28,-11.44,-2.16,0.321,68,77,0.396,0.466,0.689,24,81.50714286,12,9,21,21,13,7,83.42827097,21
2010,Cal State Fullerton,c009914b-3303-4dee-b915-978aa48a31d0,31,-7.68,-2.81,0.355,71,75,0.449,0.437,0.719,21,77.27741935,10,10,22,21,14,5,91.87677409,22
2010,Cal State Northridge,cb732075-23a5-4e71-9037-50a7a002bdb2,32,-5.35,-1.55,0.438,69,71,0.436,0.462,0.673,26,79.90625,11,11,23,24,15,6,86.3511928,25
2010,Campbell,6e5dfe2c-28cc-411f-b846-af8436093ab2,31,-6.67,-4.27,0.387,65,67,0.452,0.431,0.641,24,75.84516129,11,11,21,22,14,7,85.70091868,21
2010,Canisius,0113eea0-c943-4fff-9780-ae0fb099e7ef,30,-2.92,-3.55,0.5,68,67,0.424,0.454,0.699,20,78.24,12,12,23,24,13,6,86.91206544,15
2010,Central Arkansas,dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355,29,-19.16,-5.39,0.172,68,76,0.416,0.494,0.642,25,82.71034483,11,13,21,28,16,7,82.2146252,23
2010,Central Connecticut State,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,31,-1.94,-5.97,0.613,70,65,0.436,0.453,0.767,18,79.30967742,12,12,23,23,14,7,88.2616123,20
2010,Central Florida,054c3e85-0552-4549-b123-7e84af6e7b6c,33,6.25,1.97,0.636,68,63,0.454,0.421,0.69,17,74.48484848,10,11,24,22,13,6,91.29373474,23
2010,Central Michigan,472c22e0-843d-472c-a871-f1593fb0725d,31,-8.01,-2.41,0.323,59,64,0.384,0.43,0.629,23,76.44516129,12,11,21,25,13,7,77.17950882,18
2010,Charleston Southern,a3fef707-e4fc-48a0-82f1-f4ef01b76f45,32,-4.86,-4.57,0.5,73,68,0.447,0.466,0.755,19,81.08125,13,9,23,24,14,8,90.03314576,18
2010,Charlotte,8ddbfca9-a931-4908-aa31-9fcd17624b5f,30,-2.54,1.89,0.333,66,71,0.414,0.427,0.729,19,77.37333333,10,10,24,25,14,6,85.30070653,20
2010,Chattanooga,4c9fb59b-6cec-4b0d-bb0f-628b391d138c,32,-9.44,-2.67,0.5,71,74,0.417,0.407,0.649,17,81.46875,11,10,26,25,15,5,87.14998082,23
2010,Chicago State,2f8c85a7-54f4-4942-be16-2cbac77c82d7,32,-27.71,-4.88,0.188,66,86,0.401,0.451,0.648,23,85.31875,11,11,24,26,17,6,77.35697019,22
2010,Cincinnati ,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,35,15.41,6.1,0.743,68,59,0.437,0.412,0.668,14,75.33714286,12,11,22,23,11,7,90.26092233,21
2010,Citadel,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,32,-9.84,-2.84,0.313,64,69,0.428,0.473,0.716,17,74.4,11,10,23,23,12,4,86.02150538,16
2010,Clemson ,dcf5c2e7-c227-4c20-af26-715d5f859412,34,13.76,6.58,0.647,68,61,0.443,0.431,0.701,15,75.21176471,11,9,23,22,13,8,90.41138746,20
2010,Cleveland State,e30c0417-b220-424e-886e-dd1249e2ca5a,36,7.59,1.74,0.75,71,63,0.434,0.414,0.731,24,75.57777778,10,11,23,20,11,7,93.94295795,22
2010,Coastal Carolina,4af63ebd-d3c8-4772-bbde-938a078bd057,34,2.35,-5.15,0.824,76,64,0.486,0.403,0.692,19,79.14117647,12,11,27,20,13,6,96.03092017,24
2010,Colgate,80a19b57-d6ab-4bee-934f-33a72c2e958a,30,-15.8,-5.03,0.233,64,75,0.419,0.454,0.682,20,78.34666667,10,10,23,23,15,5,81.68822328,20
2010,College of Charleston,8548dacb-3636-48a8-8c46-611ab0c15fc0,37,6.17,-1.05,0.703,76,69,0.477,0.42,0.741,15,77.27027027,10,13,23,26,12,5,98.35606856,16
2010,Colorado,9fccbf28-2858-4263-821c-fdefb3c7efa3,38,11.45,5.61,0.632,79,73,0.473,0.404,0.778,17,79.76842105,11,10,24,22,11,6,99.03668514,22
2010,Colorado State,1a470730-f328-4fb1-8bbf-36a069e4d6b2,32,7.49,5.26,0.594,71,67,0.467,0.435,0.692,20,76.36875,10,9,23,20,14,7,92.96996481,22
2010,Columbia,ca74bd67-034c-4468-8487-6f983f5eb4f6,28,-5.22,-4.81,0.536,70,71,0.428,0.416,0.714,18,79.47142857,12,8,24,23,12,6,88.08197016,21
2010,Connecticut ,efba5350-79bc-47aa-a189-db177b95b491,41,17.95,10.44,0.78,72,64,0.434,0.386,0.763,15,78.62926829,13,13,25,21,11,6,91.56895589,20
2010,Coppin State,5f9a90a2-3926-404e-8c8a-d9f22ad6907d,30,-8.7,-7.66,0.533,72,72,0.429,0.454,0.701,17,80.70666667,11,13,24,25,13,7,89.21196101,20
2010,Cornell,88ff8c00-958e-4ccf-a21d-77fab9e93692,28,-3.6,-1.6,0.357,68,70,0.416,0.418,0.689,22,75.52857143,10,11,21,27,12,6,90.03215434,17
2010,Creighton,7d797407-623e-476d-b299-46de4275414d,39,4.87,1.41,0.59,68,65,0.46,0.441,0.73,17,71.71282051,9,9,25,21,12,4,94.82265446,18
2010,Dartmouth,d60357bd-1205-42e9-9092-d986a2843a34,28,-14.86,-3.39,0.179,59,71,0.395,0.423,0.697,19,74.77857143,9,8,21,23,13,6,78.89960837,16
