season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2000,Bucknell,98d2123a-c7b9-4b5f-8a81-43f76d8537dc,29,-12.19,-6.27,0.483,65,70,0.431,NULL,0.615,NULL,80.820689655172,11,NULL,23,NULL,17,7,80.4249509343805,26
2000,Buffalo,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,28,-9.02,0.7,0.143,66,76,0.417,NULL,0.651,NULL,79.785714285714,11,NULL,21,NULL,15,6,82.7215756490603,21
2000,"Butler ",bdb7d7a4-45f8-4bf3-ab85-15488c451494,32,12.55,3.98,0.75,69,60,0.46,NULL,0.716,NULL,71.275,9,NULL,19,NULL,11,6,96.8081374956156,20
2000,Cal Poly,45439cdb-af7a-4743-936c-dccc76b30877,28,-8.24,-1.33,0.321,80,81,0.438,NULL,0.683,NULL,88.471428571428,14,NULL,25,NULL,15,6,90.424673017924,26
2000,Cal State Fullerton,c009914b-3303-4dee-b915-978aa48a31d0,28,-13.24,-0.2,0.179,59,70,0.416,NULL,0.685,NULL,72.75,9,NULL,20,NULL,16,5,81.0996563573883,20
2000,"Cal State Northridge ",cb732075-23a5-4e71-9037-50a7a002bdb2,32,5.94,0.24,0.688,82,75,0.494,NULL,0.709,NULL,83.65625,11,NULL,24,NULL,15,8,98.0201718341427,27
2000,Campbell,6e5dfe2c-28cc-411f-b846-af8436093ab2,28,-16.75,-7.36,0.25,64,74,0.427,NULL,0.664,NULL,78.057142857142,12,NULL,21,NULL,14,5,81.9912152269409,16
2000,Canisius,0113eea0-c943-4fff-9780-ae0fb099e7ef,31,-2.11,-4.62,0.645,77,74,0.454,NULL,0.691,NULL,82.14193548387,11,NULL,25,NULL,13,6,93.7401822180344,22
2000,Central Connecticut State,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,28,-8.79,-10.18,0.5,73,71,0.441,NULL,0.698,NULL,83.871428571428,14,NULL,23,NULL,16,7,87.0379833077846,24
2000,Central Florida,054c3e85-0552-4549-b123-7e84af6e7b6c,31,-9.46,-5.26,0.258,70,74,0.431,NULL,0.685,NULL,82.174193548387,12,NULL,22,NULL,15,7,85.1848944021356,18
