market,season,team_id,points_avg,opp_pts_avg,possesion_avg,fg_pct,allow_fg_pct,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,ft_att_avg,allow_ft_att_avg,ft_pct,turnover_avg,take_away_avg,win_pct,off_rating
Eastern Kentucky,2013,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,77.124999999999986,72.187499999999986,58.141313893078596,0.39306358381502893,0.5641025641025641,6.333333333333333,11.0,14.0,27.0,10.333333333333334,25.333333333333332,0.80645161290322576,8.6666666666666661,11.666666666666666,0.68749999999999989,132.65094101903551
Boise State,2013,c1c54dbf-805c-47fc-a707-c803e94db2a4,75.031249999999986,70.062500000000014,59.97263474253657,0.4375,0.45977011494252873,9.1428571428571423,8.2857142857142847,18.142857142857142,21.285714285714288,14.857142857142858,23.714285714285712,0.70192307692307687,9.2857142857142865,12.142857142857142,0.59375,125.10914406563973
Iona,2013,255c2a87-40c0-4989-bbb9-d286aac5d28e,83.636363636363626,77.5757575757576,66.9576923076923,0.38596491228070173,0.56896551724137934,6.0,9.0,20.0,31.0,19.0,25.0,0.631578947368421,11.0,11.0,0.66666666666666685,124.90926845570995
Villanova,2017,4383eb6a-7fd8-4ff2-94c5-43c933121e88,86.574999999999989,70.175000000000011,69.865778207446027,0.5,0.4281549354435652,8.4250000000000025,7.5249999999999995,24.925,21.349999999999998,17.95,16.025,0.7785515320334262,10.074999999999998,12.449999999999998,0.9,123.91617501624444
Cleveland State,2013,e30c0417-b220-424e-886e-dd1249e2ca5a,71.741935483870947,66.8387096774194,58.175172413793106,0.3559322033898305,0.35849056603773582,12.0,15.0,17.0,21.0,15.0,35.0,0.93333333333333335,10.0,11.0,0.61290322580645162,123.32053779502202
Hampton,2013,161354af-1f3e-4d58-88f7-e016ec74b7b6,72.967741935483872,70.225806451612911,59.27871323529412,0.36734693877551022,0.4606741573033708,6.0,9.0,14.5,30.0,17.5,31.5,0.7142857142857143,12.0,15.5,0.58064516129032251,123.09265493981641
N.J.I.T.,2013,500d7223-ecff-494b-9539-28427156c783,68.679999999999993,73.719999999999985,55.841458333333328,0.34259259259259262,0.48514851485148514,7.0,10.0,17.0,26.5,10.0,22.5,0.75,9.5,8.5,0.36,122.99105727151645
Georgia State,2013,94ea835b-8ce9-4de2-a5b1-971548fea974,77.281250000000014,68.6875,63.287724985433549,0.39890710382513661,0.515527950310559,9.0,7.333333333333333,18.0,26.666666666666668,17.666666666666668,24.0,0.75471698113207553,8.3333333333333339,9.6666666666666661,0.71875,122.11096230396535
Belmont,2013,a0a22502-0d84-440c-84af-1fbb070ad54c,79.257142857142838,74.085714285714275,65.198661616161615,0.43406593406593408,0.5058139534883721,9.3333333333333321,13.666666666666668,17.666666666666668,23.666666666666668,14.333333333333334,31.666666666666668,0.813953488372093,11.333333333333334,10.333333333333334,0.71428571428571419,121.5625304147292
Wisconsin,2014,c7569eae-5b93-4197-b204-6f3a62146b25,72.499999999999972,58.175,59.680083811955285,0.4794326241134752,0.42829827915869984,8.3999999999999986,6.1250000000000018,22.45,19.250000000000004,19.125,11.725,0.76339869281045747,7.2499999999999991,9.35,0.8999999999999998,121.48106264133055
Norfolk State,2013,a8f75c12-c4db-401f-99e3-b48209d85274,68.258064516129039,68.9032258064516,56.199411231884056,0.34234234234234234,0.43373493975903615,8.5,9.0,15.0,26.5,15.0,32.5,0.7,9.0,11.5,0.5161290322580645,121.45690323069373
Duke,2013,faeb1160-5d15-4f26-99fc-c441cf21fc7f,78.4285714285714,67.4,64.742432415835466,0.45990099009900992,0.45591397849462367,10.428571428571427,9.02857142857143,21.085714285714289,21.314285714285713,22.371428571428574,21.657142857142858,0.7292464878671775,9.2571428571428562,11.942857142857141,0.74285714285714277,121.13936486789832
UNC-Asheville,2013,ad9fce12-6b1a-400c-bcbe-29d84d065fc0,76.931034482758619,78.24137931034484,63.560026525198936,0.35964912280701755,0.51754385964912286,11.0,15.5,16.5,28.5,21.0,37.0,0.54761904761904767,14.0,11.5,0.48275862068965519,121.03681934786266
Creighton,2013,7d797407-623e-476d-b299-46de4275414d,78.742857142857147,67.8857142857143,65.086663431354992,0.49662688116242865,0.42540322580645162,7.1428571428571423,8.6857142857142851,23.8,20.799999999999994,18.685714285714283,18.685714285714287,0.74311926605504586,9.6,9.5428571428571427,0.77142857142857157,120.98155442536233
Notre Dame,2014,80962f09-8821-48b6-8cf0-0cf0eea56aa8,77.973684210526329,65.76315789473685,64.486005812227887,0.50946142649199422,0.42728093947606144,7.1052631578947363,9.7631578947368443,22.973684210526319,20.263157894736842,19.89473684210526,14.026315789473687,0.74206349206349209,9.2631578947368425,11.0,0.84210526315789458,120.9156672496855
North Carolina-Wilmington,2016,c54279f9-3028-4663-893a-7d22482f8098,82.757575757575751,74.151515151515142,68.5226052826491,0.47477174435367614,0.48241758241758242,10.424242424242424,7.5757575757575744,22.000000000000007,23.151515151515149,19.424242424242426,21.878787878787879,0.68798751950078008,9.5454545454545432,13.636363636363638,0.81818181818181823,120.77412324912164
Vermont,2013,18e89867-9201-41ce-ba19-fadddf92fa17,70.0967741935484,61.0,58.083071428571422,0.487012987012987,0.49664429530201343,8.6666666666666661,11.666666666666666,13.666666666666668,19.666666666666668,17.666666666666668,22.333333333333332,0.54716981132075471,11.333333333333334,14.666666666666666,0.64516129032258063,120.68365613163384
Murray State,2013,77a69fb0-1355-4342-ac09-b4cc7949d95e,76.843749999999986,72.28125,63.699999999999996,0.45454545454545453,0.44444444444444442,10.0,13.0,20.0,25.0,21.0,33.0,0.47619047619047616,11.0,13.0,0.65624999999999989,120.633830455259
UCLA,2016,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,89.805555555555557,75.527777777777786,74.673745901087813,0.521551724137931,0.42176296921130324,8.4444444444444446,9.9444444444444446,28.027777777777768,22.083333333333336,17.277777777777779,16.722222222222218,0.73794212218649513,11.111111111111111,11.388888888888889,0.861111111111111,120.2638952577941
Louisiana-Lafayette,2013,63cad858-8654-4956-8438-8fe79cd1208a,79.406250000000014,76.218750000000014,66.223601341863,0.39805825242718446,0.55263157894736847,13.0,7.6,16.8,24.2,22.0,29.2,0.67272727272727273,13.2,12.6,0.62499999999999989,119.90626965465808
Duke,2015,faeb1160-5d15-4f26-99fc-c441cf21fc7f,81.1111111111111,72.472222222222229,67.725143947176349,0.46042154566744731,0.44474153297682711,10.222222222222221,11.027777777777777,22.416666666666661,22.527777777777779,24.055555555555554,15.777777777777779,0.72286374133949194,9.6666666666666643,11.666666666666666,0.69444444444444442,119.76513652650989
New Mexico State,2013,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,76.428571428571431,67.657142857142887,63.835774154721527,0.38823529411764707,0.46448087431693991,10.0,11.333333333333334,17.333333333333332,25.0,20.0,20.666666666666668,0.66666666666666663,13.0,10.666666666666666,0.7142857142857143,119.72686544589902
North Dakota State,2013,984e7518-e418-45d5-9797-979b8c2085c1,73.9,67.566666666666677,61.73580882352941,0.44827586206896552,0.40807174887892378,5.25,9.25,23.25,23.5,19.5,22.0,0.75641025641025639,9.0,8.5,0.76666666666666672,119.70362324277907
Saint Mary's,2017,b18f34af-a7f1-4659-a2e5-fc11a31cd316,77.000000000000014,64.472222222222243,64.386824215774809,0.51472081218274113,0.44172086043021513,7.2777777777777777,6.1944444444444446,24.333333333333332,18.777777777777775,16.611111111111111,13.75,0.76923076923076927,9.7499999999999964,9.4166666666666643,0.83333333333333326,119.58968459440646
Michigan,2016,bdc2561d-f603-4fab-a262-f1d2af462277,75.026315789473671,66.394736842105274,62.814698599532726,0.48265895953757226,0.46459747817652763,6.1842105263157894,8.1578947368421044,20.605263157894736,21.473684210526319,16.421052631578952,14.763157894736844,0.77884615384615385,8.8157894736842124,12.210526315789476,0.68421052631578949,119.44070012624687
Michigan,2013,bdc2561d-f603-4fab-a262-f1d2af462277,73.945945945945979,65.0810810810811,61.959862882703455,0.47679112008072655,0.44471744471744473,7.4864864864864868,8.91891891891892,21.324324324324326,20.324324324324323,18.675675675675681,14.675675675675675,0.76266280752532567,9.0270270270270263,10.513513513513518,0.75675675675675669,119.3449154106965
Quinnipiac,2013,6a8d2a24-2128-47a0-913f-3d29e9d6592c,78.78125,76.500000000000014,66.190270270270275,0.34246575342465752,0.4642857142857143,16.0,3.0,21.0,25.0,16.0,22.0,0.75,9.0,8.0,0.625,119.02240265573448
Villanova,2016,4383eb6a-7fd8-4ff2-94c5-43c933121e88,77.194444444444443,62.666666666666657,64.9257369873723,0.49537987679671458,0.41922695738354809,7.7777777777777759,7.666666666666667,23.333333333333332,18.555555555555557,18.916666666666668,12.361111111111109,0.79001468428781207,10.777777777777773,12.888888888888886,0.88888888888888862,118.89652397701444
Southeast Missouri State,2013,6a7083ab-1832-48c0-9168-427b35adbcde,80.899999999999977,79.800000000000011,68.061842105263153,0.45,0.5,15.0,10.0,23.0,17.0,10.0,19.0,0.6,18.0,8.0,0.53333333333333333,118.86248960890829
Oklahoma State,2016,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,85.218749999999986,78.25,71.730323201484808,0.46774193548387094,0.46829810901001112,11.531249999999998,9.0,21.96875,20.656250000000004,23.187500000000004,25.5,0.78840970350404316,12.90625,14.343749999999998,0.59375,118.80435804063958
Indiana,2015,c3f0a8ce-af67-497f-a750-3b859376b20a,82.6,69.9142857142857,69.5279228396418,0.50196656833824971,0.44428080510554735,10.400000000000002,8.742857142857142,23.971428571428575,18.514285714285709,19.685714285714287,17.571428571428566,0.73149492017416551,13.085714285714285,12.6,0.77142857142857157,118.80119040879079
Stephen F. Austin,2013,5ef64f01-86ae-4553-9834-c79cc0859eaf,75.393939393939377,63.818181818181827,63.479655448717956,0.41818181818181815,0.50295857988165682,9.3333333333333339,8.3333333333333339,20.666666666666668,23.333333333333332,17.666666666666668,19.333333333333332,0.69811320754716977,12.333333333333334,9.6666666666666661,0.90909090909090906,118.76866511168508
Duke,2014,faeb1160-5d15-4f26-99fc-c441cf21fc7f,79.256410256410234,64.153846153846118,66.7659856499877,0.50159744408945683,0.421744848750548,10.230769230769228,9.4871794871794872,24.230769230769226,19.512820512820511,22.384615384615387,14.051282051282055,0.69873997709049251,10.615384615384615,12.128205128205128,0.89743589743589747,118.70776636460072
Mount St. Mary's,2013,5fe4a398-1699-4442-a364-305b2f0ac01e,75.878787878787875,77.757575757575779,63.991145774515338,0.38108882521489973,0.59475218658892126,7.8333333333333339,7.5,17.0,28.666666666666664,18.5,19.0,0.68468468468468469,11.0,11.833333333333332,0.48484848484848486,118.57701086672343
Canisius,2013,0113eea0-c943-4fff-9780-ae0fb099e7ef,78.545454545454533,75.36363636363636,66.265303030303031,0.39370078740157483,0.41860465116279072,9.5,14.5,22.0,28.5,10.5,21.5,0.76190476190476186,11.0,11.5,0.63636363636363635,118.53179711490311
Louisville,2013,b795ddbc-baab-4499-8803-52e8608520ab,81.027027027027,61.135135135135123,68.492020916775914,0.47087813620071683,0.39667338709677419,12.56756756756757,10.378378378378377,23.189189189189189,21.756756756756758,24.864864864864867,20.567567567567568,0.66086956521739126,10.432432432432432,16.945945945945944,0.8378378378378375,118.30141079569295
Wisconsin,2013,c7569eae-5b93-4197-b204-6f3a62146b25,73.500000000000028,64.000000000000014,62.138956778804939,0.45936570862239839,0.42857142857142855,7.6842105263157912,7.8947368421052619,23.105263157894733,21.421052631578949,22.657894736842103,15.236842105263159,0.74564459930313587,7.86842105263158,9.6578947368421062,0.78947368421052644,118.2832860577895
Nevada,2017,62a73b4a-e281-4483-a1f8-f1160a18e456,82.567567567567565,73.054054054054063,69.929666078476487,0.46872207327971405,0.43327402135231319,8.24324324324324,9.4324324324324316,24.594594594594597,23.918918918918916,21.94594594594594,18.324324324324326,0.7426108374384236,9.5135135135135158,12.513513513513514,0.78378378378378366,118.07230349835872
Villanova,2014,4383eb6a-7fd8-4ff2-94c5-43c933121e88,76.5,60.916666666666664,64.793527525743585,0.469502819067145,0.40580448065173114,9.0000000000000018,8.1666666666666643,22.416666666666664,19.611111111111107,22.638888888888882,16.583333333333336,0.73128834355828221,10.5,13.638888888888889,0.91666666666666641,118.0673485783055
Delaware,2013,0affc15f-641d-4211-970d-fb9fb8d36842,79.4857142857143,75.657142857142873,67.483502747252743,0.43043478260869567,0.46610169491525422,7.25,13.0,18.25,26.75,22.75,28.0,0.69230769230769229,11.0,11.25,0.71428571428571441,117.78540094964197
Gonzaga,2014,2f4d21f8-6d5f-48a5-abca-52a30583871a,77.837837837837839,61.837837837837846,66.1111830468796,0.51558634339435927,0.39248334919124644,8.7297297297297316,8.5135135135135123,25.486486486486488,18.432432432432432,21.162162162162158,17.351351351351354,0.68837803320561941,10.378378378378379,10.864864864864865,0.91891891891891875,117.73777786224585
North Florida,2015,09920a5f-1b25-466c-b5ae-6167214f5ba9,82.903225806451616,80.387096774193552,70.475216113719554,0.48006379585326953,0.47191011235955055,7.0,10.516129032258061,23.935483870967747,24.612903225806448,17.419354838709676,17.870967741935477,0.725925925925926,10.774193548387096,10.06451612903226,0.61290322580645162,117.63458188291057
Purdue,2017,12d7f888-675b-459f-9099-a38f771d8a95,80.3783783783784,65.702702702702723,68.337358160132709,0.49260848831664283,0.41283568502503415,7.2432432432432421,8.5135135135135158,24.783783783783786,20.5945945945946,20.189189189189193,14.351351351351351,0.74297188755020083,10.567567567567567,11.675675675675675,0.81081081081081074,117.61996738303866
Davidson,2014,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,78.290322580645153,69.516129032258064,66.564677895933571,0.46530392684238836,0.44400895856662936,8.8387096774193541,9.7741935483870979,23.419354838709683,22.516129032258057,17.096774193548388,19.93548387096774,0.69622641509433958,9.387096774193548,11.387096774193548,0.74193548387096775,117.61541564588251
Charleston Southern,2013,a3fef707-e4fc-48a0-82f1-f4ef01b76f45,76.333333333333343,75.851851851851862,64.93465634920635,0.38139534883720932,0.463768115942029,5.5,9.0,18.25,25.0,17.5,29.75,0.8,12.5,12.0,0.33333333333333337,117.55407300968385
William & Mary,2017,ad24b724-a11c-4dcd-a68c-67c53833ccb7,82.999999999999986,83.034482758620669,70.6535978244229,0.50364077669902918,0.49774011299435028,5.5517241379310347,7.5517241379310356,23.896551724137925,22.551724137931028,18.96551724137931,19.758620689655171,0.81090909090909091,12.241379310344826,10.068965517241377,0.58620689655172409,117.47455551557105
Marquette,2016,06f7c904-0ac7-4125-b0f4-f4871bb69057,82.21875,75.562499999999986,70.034362275101927,0.486500794070937,0.45911277391769106,7.4375000000000009,9.125,23.0625,22.468750000000004,18.28125,20.84375,0.7811965811965812,11.875000000000004,12.562500000000002,0.59375,117.39772781400734
Duke,2017,faeb1160-5d15-4f26-99fc-c441cf21fc7f,84.351351351351354,69.621621621621614,71.864938767987056,0.49169580419580422,0.40482233502538073,11.891891891891893,9.783783783783786,26.540540540540544,19.8108108108108,21.378378378378386,14.216216216216219,0.7104930467762326,12.135135135135137,11.864864864864867,0.78378378378378388,117.37483228598602
Davidson,2013,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,77.687500000000014,73.15625,66.219331078005936,0.406570841889117,0.54398148148148151,10.125,7.625,17.625,25.875,19.875000000000004,28.75,0.69811320754716977,11.874999999999998,12.375,0.59375,117.318460841117
Saint Mary's,2015,b18f34af-a7f1-4659-a2e5-fc11a31cd316,73.411764705882362,61.058823529411761,62.603797163502882,0.50438116100766706,0.40994764397905759,7.4705882352941178,8.23529411764706,25.058823529411764,19.323529411764707,15.558823529411764,13.529411764705882,0.68809073724007563,9.3235294117647065,9.5588235294117627,0.823529411764706,117.26407667278107
Davidson,2017,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,76.333333333333329,67.878787878787875,65.117905552580879,0.47972251867662752,0.43921139101861995,6.03030303030303,6.7575757575757569,24.272727272727273,22.515151515151512,13.969696969696969,16.363636363636367,0.79826464208242953,9.0909090909090917,10.272727272727273,0.63636363636363646,117.22326245842828
Oregon,2013,1da70895-f77f-44ef-b216-d63c02e696eb,81.852941176470608,74.147058823529434,69.838218123301061,0.46939807789580174,0.43943366544310436,8.8529411764705888,9.0588235294117627,22.088235294117656,20.970588235294112,25.441176470588236,26.823529411764707,0.77225433526011555,11.323529411764707,13.411764705882353,0.70588235294117663,117.20365063145979
Toledo,2013,34dd83ac-64f2-4b73-8577-899b2a46f5cc,78.545454545454561,73.787878787878768,67.0451923076923,0.512,0.53913043478260869,9.0,12.0,14.5,21.0,25.5,31.0,0.76470588235294112,7.0,14.0,0.787878787878788,117.15300059843783
Gonzaga,2017,2f4d21f8-6d5f-48a5-abca-52a30583871a,83.540540540540519,67.702702702702737,71.318901913317688,0.49756744803184433,0.40863177226813591,9.5135135135135123,6.9459459459459474,26.594594594594597,20.891891891891891,19.594594594594593,17.108108108108109,0.70758620689655172,11.162162162162161,11.864864864864867,0.86486486486486458,117.13660516264991
Central Michigan,2014,472c22e0-843d-472c-a871-f1593fb0725d,75.0344827586207,68.3103448275862,64.078746631501275,0.45607476635514016,0.45454545454545453,7.8965517241379333,8.72413793103448,20.758620689655171,22.034482758620694,20.241379310344826,19.379310344827591,0.727427597955707,9.7241379310344858,12.758620689655174,0.689655172413793,117.09730090403103
Saint Mary's,2016,b18f34af-a7f1-4659-a2e5-fc11a31cd316,72.02941176470587,57.470588235294116,61.539231604212809,0.49638286032276013,0.41183035714285715,8.2941176470588225,6.2058823529411757,24.617647058823529,18.088235294117641,14.676470588235295,14.0,0.74549098196392782,10.205882352941179,9.2058823529411757,0.8529411764705882,117.04632945039069
Duke,2016,faeb1160-5d15-4f26-99fc-c441cf21fc7f,80.837837837837824,70.189189189189179,69.066156135913275,0.47505827505827508,0.43198198198198196,9.4054054054054035,9.2972972972972965,24.540540540540537,21.648648648648653,22.756756756756758,18.729729729729723,0.76247030878859856,11.162162162162161,11.648648648648647,0.7567567567567568,117.04406667537629
Oakland,2015,aeaaef0d-5238-414e-ac04-c55a22cba208,86.371428571428581,78.457142857142884,73.820948307111919,0.45837145471180241,0.43451327433628317,10.114285714285716,10.285714285714285,25.88571428571429,23.685714285714294,26.085714285714285,20.714285714285708,0.76998904709748084,11.314285714285715,11.999999999999998,0.657142857142857,117.00124497467009
